event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
karate at the 2020 Summer Olympics – women's +61 kg,gold,Feryal Abdelaziz,Q86833068,Egypt,Egypt at the 2020 Summer Olympics,female
modern pentathlon at the 2020 Summer Olympics – men's,silver,Ahmed El-Gendy,Q99232188,Egypt,Egypt at the 2020 Summer Olympics,male
rowing at the 2020 Summer Olympics – men's quadruple sculls,bronze,Jack Cleary,Q106924541,Australia,Australia at the 2020 Summer Olympics,male
rowing at the 2020 Summer Olympics – men's quadruple sculls,bronze,Luke Letcher,Q66058217,Australia,Australia at the 2020 Summer Olympics,male
rowing at the 2020 Summer Olympics – women's double sculls,bronze,Roos de Jong,Q61712453,Netherlands,Netherlands at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's double sculls,bronze,Lisa Scheenaard,Q47465462,Netherlands,Netherlands at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's quadruple sculls,gold,Chen Yunxia,Q66934283,People's Republic of China,China at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's quadruple sculls,gold,Cui Xiaotong,Q47462831,People's Republic of China,China at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's quadruple sculls,bronze,Caitlin Cronin,Q61751125,Australia,Australia at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's coxless four,silver,Veronique Meester,Q47465546,Netherlands,Netherlands at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's eight,bronze,Ju Rui,Q47462825,People's Republic of China,China at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's eight,bronze,Li Jingjing,Q107636283,People's Republic of China,China at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's eight,bronze,Wang Zifeng,Q107642086,People's Republic of China,China at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – women's eight,bronze,Xu Fei,Q107642090,People's Republic of China,China at the 2020 Summer Olympics,female
rugby sevens at the 2020 Summer Olympics – men's tournament,gold,Meli Derenalagi,Q63106324,Fiji,Fiji at the 2020 Summer Olympics,male
rugby sevens at the 2020 Summer Olympics – men's tournament,gold,Sireli Maqala,Q107673245,Fiji,Fiji at the 2020 Summer Olympics,male
rugby sevens at the 2020 Summer Olympics – men's tournament,gold,Iosefo Masi,Q107660091,Fiji,Fiji at the 2020 Summer Olympics,male
rugby sevens at the 2020 Summer Olympics – men's tournament,gold,Waisea Nacuqu,Q58836605,Fiji,Fiji at the 2020 Summer Olympics,male
rugby sevens at the 2020 Summer Olympics – men's tournament,gold,Kalione Nasoko,Q59306050,Fiji,Fiji at the 2020 Summer Olympics,male
rugby sevens at the 2020 Summer Olympics – men's tournament,gold,Asaeli Tuivuaka,Q107659092,Fiji,Fiji at the 2020 Summer Olympics,male
rugby sevens at the 2020 Summer Olympics – men's tournament,gold,Josua Vakurunabili,Q107659107,Fiji,Fiji at the 2020 Summer Olympics,male
rugby sevens at the 2020 Summer Olympics – men's tournament,silver,Ngarohi McGarvey-Black,Q107395749,New Zealand,New Zealand at the 2020 Summer Olympics,male
rugby sevens at the 2020 Summer Olympics – women's tournament,bronze,Lavena Cavuru,Q107718897,Fiji,Fiji at the 2020 Summer Olympics,female
rugby sevens at the 2020 Summer Olympics – women's tournament,bronze,Raijieli Daveau,Q26250582,Fiji,Fiji at the 2020 Summer Olympics,female
rugby sevens at the 2020 Summer Olympics – women's tournament,bronze,Sesenieli Donu,Q107721862,Fiji,Fiji at the 2020 Summer Olympics,female
rugby sevens at the 2020 Summer Olympics – women's tournament,bronze,Laisana Likuceva,Q107718896,Fiji,Fiji at the 2020 Summer Olympics,female
rugby sevens at the 2020 Summer Olympics – women's tournament,bronze,Ana Naimasi,Q107688384,Fiji,Fiji at the 2020 Summer Olympics,female
rugby sevens at the 2020 Summer Olympics – women's tournament,bronze,Aloesi Nakoci,Q107721858,Fiji,Fiji at the 2020 Summer Olympics,female
rugby sevens at the 2020 Summer Olympics – women's tournament,bronze,Vasiti Solikoviti,Q107721883,Fiji,Fiji at the 2020 Summer Olympics,female
rugby sevens at the 2020 Summer Olympics – women's tournament,bronze,Reapi Uluinasau,Q107718848,Fiji,Fiji at the 2020 Summer Olympics,female
shooting at the 2020 Summer Olympics – women's 10 metre air pistol,bronze,Jiang Ranxin,Q56486658,People's Republic of China,China at the 2020 Summer Olympics,female
shooting at the 2020 Summer Olympics – mixed 10 metre air pistol,gold,Jiang Ranxin,Q56486658,People's Republic of China,China at the 2020 Summer Olympics,female
water polo at the 2020 Summer Olympics – men's tournament,silver,Emmanouil Zerdevas,Q107743819,Greece,Greece at the 2020 Summer Olympics,male
water polo at the 2020 Summer Olympics – men's tournament,silver,Konstantinos Gkiouvetsis,Q107743695,Greece,Greece at the 2020 Summer Olympics,male
judo at the 2020 Summer Olympics – mixed team event,bronze,Li Kochman,Q64816214,Israel,Israel at the 2020 Summer Olympics,male
karate at the 2020 Summer Olympics – men's 67 kg,bronze,Abdelrahman Al-Masatfa,Q107198429,Jordan,Jordan at the 2020 Summer Olympics,male
taekwondo at the 2020 Summer Olympics – men's 80 kg,bronze,Seif Eissa,Q18043783,Egypt,Egypt at the 2020 Summer Olympics,male
wrestling at the 2020 Summer Olympics – men's Greco-Roman 67 kg,bronze,Mohamed Ibrahim El-Sayed,Q23764813,Egypt,Egypt at the 2020 Summer Olympics,male
wrestling at the 2020 Summer Olympics – women's freestyle 50 kg,bronze,Sarah Hildebrandt,Q18434125,United States of America,United States at the 2020 Summer Olympics,female
